,cpi_index_cpi,cpi_6m_avg_cpi,cpi_3m_avg_cpi,gdp_growth_macro,iip_durable_yoy_iip,iip_combined_yoy_iip,iip_nondurable_mom_iip,unemployment_macro,iip_combined_mom_iip,inflation_mom_cpi,interest_rate_macro,inflation_macro,log_retail_sales
0,119.5,119.91666666666669,119.66666666666669,7.5,-104.22535211267603,-71.68141592920354,-22.22222222222222,5.5,-70.9090909090909,0.0837520938023361,7.75,5.2,7.649930690609437
1,119.7,119.81666666666666,119.53333333333336,7.6,-68.49315068493152,36.7816091954023,174.28571428571428,5.4,271.87499999999994,0.1673640167364043,7.75,5.3,7.625741402889001
2,120.2,119.83333333333331,119.8,7.4,-41.77215189873419,37.07865168539324,-20.833333333333336,5.3,2.521008403361358,0.417710944026739,7.5,5.4,7.696576209610365
3,120.7,119.93333333333334,120.2,7.5,-18.181818181818187,78.57142857142856,-24.99999999999999,5.3,-38.52459016393443,0.4159733777038266,7.5,5.5,7.673316140051128
4,121.6,120.18333333333334,120.83333333333331,7.6,-109.82142857142858,-76.15384615384615,-26.315789473684216,5.2,-58.66666666666666,0.7456503728251684,7.5,5.6,7.625887712235991
5,123.0,120.78333333333336,121.76666666666668,7.5,120.0,2.7027027027026973,-102.38095238095238,5.1,145.16129032258064,1.1513157894736947,7.25,5.7,7.640555771418734
6,123.6,121.46666666666668,122.73333333333332,7.6,-51.28205128205128,-119.04761904761904,5987.000000000006,5.0,-136.84210526315786,0.4878048780487809,7.25,5.8,7.659360029113651
7,124.8,122.31666666666666,123.8,7.5,-73.91304347826086,-61.1764705882353,-122.72727272727272,5.1,-217.8571428571429,0.9708737864077666,7.25,5.6,7.687401205158699
8,125.4,123.18333333333332,124.59999999999998,7.3,-132.94117647058823,-111.53846153846156,6.666666666666665,5.2,-136.36363636363637,0.480769230769229,7.0,5.5,7.7187743801369715
9,126.1,124.08333333333331,125.43333333333334,7.4,-246.2809917355372,-285.39325842696627,856.25,5.3,-1721.0625000000005,0.5582137161084466,6.75,5.4,7.783432327970995
10,126.6,124.91666666666669,126.03333333333336,7.2,-147.36842105263156,-95.48022598870055,-65.359477124183,5.4,-97.57575757575758,0.3965107057890549,6.75,5.3,7.863574368989695
11,126.1,125.43333333333334,126.26666666666664,7.3,-20.0,-3.6363636363636265,1.8867924528301885,5.5,1225.0000000000005,-0.3949447077409185,6.75,5.2,7.955179530880813
12,126.3,125.88333333333333,126.33333333333331,7.6,-1133.3333333333337,106.24999999999996,-35.18518518518518,5.6,-37.73584905660379,0.1586042823156219,6.75,5.4,7.740881769595523
13,126.0,126.08333333333331,126.13333333333333,7.8,191.304347826087,-31.93277310924369,-60.00000000000001,5.5,22.72727272727273,-0.2375296912114022,6.75,5.5,7.7188188196437
14,126.0,126.18333333333332,126.1,7.9,-52.17391304347825,-112.29508196721312,-364.28571428571433,5.4,-118.5185185185185,0.0,6.75,5.3,7.762510974738495
15,127.3,126.38333333333333,126.43333333333332,7.7,416.6666666666667,26.66666666666666,-105.4054054054054,5.3,-733.3333333333333,1.031746031746028,6.5,5.2,7.740751354658481
16,128.6,126.71666666666664,127.3,7.6,-1000.0,583.8709677419356,5550.0,5.2,123.15789473684214,1.021209740769824,6.5,5.4,7.696485329435812
17,130.1,127.38333333333333,128.66666666666666,7.5,-41.55844155844156,109.21052631578948,0.8849557522123908,5.1,-25.00000000000001,1.1664074650077794,6.5,5.6,7.732325380902501
18,131.1,128.18333333333334,129.93333333333334,7.4,-94.73684210526316,-625.0,27.192982456140346,5.0,-7.547169811320764,0.768639508070712,6.5,5.8,7.749494863591909
19,131.1,129.03333333333333,130.76666666666665,7.2,305.55555555555554,463.6363636363637,-22.06896551724138,5.0,26.530612244897966,0.0,6.5,5.7,7.775149841068463
20,130.9,129.85,131.03333333333333,7.1,-467.8571428571429,-2006.105263157895,12.389380530973447,5.1,23.655913978494624,-0.1525553012967084,6.25,5.6,7.80392493286007
21,131.4,130.53333333333333,131.13333333333333,7.0,-91.52542372881356,-78.48484848484848,-55.90551181102362,5.2,-69.1304347826087,0.381970970206269,6.25,5.5,7.882503580427861
22,131.2,130.96666666666667,131.16666666666666,6.9,-251.11111111111111,1162.5000000000002,-41.07142857142857,5.3,42.253521126760575,-0.1522070015220866,6.25,5.4,7.937660369640456
23,130.4,131.01666666666668,131.0,7.0,-196.15384615384613,-149.0566037735849,-106.06060606060606,5.2,-151.4851485148515,-0.609756097560965,6.25,5.2,8.022995225420104
24,130.3,130.88333333333333,130.63333333333335,6.8,-164.51612903225805,15.15151515151516,-2397.0,5.1,-246.15384615384616,-0.0766871165644111,6.25,5.0,7.824245990858959
25,130.6,130.8,130.43333333333337,6.7,-168.65671641791045,-28.395061728395056,8.333333333333348,5.0,-23.684210526315773,0.2302379125095788,6.25,4.8,7.8039657450221
26,130.9,130.79999999999998,130.6,6.6,-127.27272727272728,-560.0,-27.884615384615387,4.9,18.96551724137929,0.2297090352220587,6.25,4.5,7.844162314441117
27,131.1,130.75,130.86666666666667,6.5,-107.5268817204301,-14.736842105263149,17.333333333333336,4.8,17.391304347826097,0.1527883880825031,6.25,4.3,7.824126007656463
28,131.4,130.78333333333333,131.13333333333333,6.4,-93.93939393939394,-51.415094339622655,10.227272727272709,4.7,27.16049382716045,0.2288329519450904,6.25,4.5,7.783473985091244
29,132.0,131.04999999999998,131.5,6.5,-177.77777777777777,-91.8238993710692,-50.51546391752577,4.6,-87.37864077669903,0.4566210045662044,6.25,4.8,7.816376676551386
30,134.2,131.70000000000002,132.53333333333333,6.6,-1299.9999999999998,-88.43537414965986,-14.583333333333336,4.5,30.76923076923077,1.6666666666666607,6.0,5.1,7.832172898067901
31,135.4,132.5,133.86666666666667,6.7,-41.0958904109589,-38.17204301075269,75.609756097561,4.6,576.4705882352941,0.8941877794336861,6.0,5.2,7.855815958945095
32,135.2,133.21666666666667,134.9333333333333,6.8,-139.80582524271844,-72.17391304347827,45.83333333333333,4.7,-44.34782608695652,-0.1477104874446189,6.0,5.3,7.882390387830536
33,136.1,134.04999999999998,135.56666666666666,6.9,-700.0,-111.26760563380284,-21.90476190476192,4.8,-112.5,0.6656804733727872,6.0,5.4,7.955249696471636
34,137.6,135.08333333333334,136.29999999999998,7.0,-54.41176470588235,165.34653465346537,189.02439024390247,4.7,-1721.0625000000005,1.102130786186617,6.0,5.5,8.006634198767678
35,137.2,135.95000000000002,136.96666666666667,7.1,-142.0,-463.4615384615385,-29.11392405063291,4.6,-29.47761194029849,-0.2906976744186051,6.0,5.6,8.086502578755997
36,136.9,136.4,137.23333333333332,7.2,-480.0,140.7894736842105,-36.30952380952381,4.5,-3.1746031746031966,-0.218658892128265,6.0,5.7,7.901192220032946
37,136.4,136.56666666666666,136.83333333333334,7.3,-263.0434782608696,156.8965517241379,-30.84112149532709,4.4,-18.579234972677583,-0.365230094959823,6.0,5.8,7.882428120119947
38,136.5,136.78333333333333,136.6,7.4,-1133.3333333333337,194.20289855072463,90.54054054054052,4.3,36.24161073825503,0.0733137829912022,6.0,5.9,7.919647057445681
39,137.1,136.95000000000002,136.66666666666666,7.5,-657.1428571428572,40.74074074074072,-46.80851063829788,4.2,-43.84236453201971,0.439560439560438,6.0,6.0,7.901081123323146
40,137.8,136.98333333333332,137.13333333333335,7.6,1016.6666666666669,-50.48543689320388,-121.33333333333334,4.1,-55.26315789473685,0.510576221735981,6.25,6.1,7.863497466617219
41,138.5,137.20000000000002,137.79999999999998,7.5,-488.5714285714286,961.5384615384615,-112.5,4.0,170.58823529411765,0.5079825834542806,6.25,6.2,7.893907838025209
42,139.8,137.68333333333334,138.70000000000002,7.4,-687.5,1041.1764705882354,2549.9999999999995,4.1,40.57971014492754,0.9386281588447788,6.5,6.3,7.908534207301484
43,140.4,138.35,139.5666666666667,7.3,27.906976744186053,4.347826086956519,22.64150943396226,4.2,-38.144329896907216,0.4291845493562096,6.5,6.4,7.930457973549896
44,140.2,138.96666666666667,140.13333333333333,7.2,-231.7073170731708,84.375,-1.538461538461533,4.3,-1.6666666666666607,-0.1424501424501567,6.5,6.5,7.955144446239112
45,140.7,139.56666666666666,140.4333333333333,7.1,-293.3333333333333,-2006.105263157895,34.37499999999998,4.4,120.33898305084745,0.3566333808844524,6.5,6.4,8.023060790591908
46,140.8,140.0666666666667,140.5666666666667,7.0,-196.7741935483871,-112.31343283582088,-103.48837209302326,4.5,-112.6923076923077,0.0710732054015839,6.5,6.3,8.071156057543025
47,140.1,140.33333333333334,140.53333333333333,6.9,95.2380952380952,-43.91534391534392,-2266.666666666667,4.6,-421.2121212121213,-0.497159090909105,6.5,6.2,8.146216462766645
48,139.6,140.29999999999998,140.16666666666666,6.8,-67.10526315789474,-65.57377049180327,-41.53846153846155,4.7,-40.56603773584906,-0.356887937187722,6.5,6.1,7.972638414906119
49,139.9,140.21666666666667,139.86666666666667,6.7,-88.0,-60.40268456375839,31.578947368421066,4.8,-6.349206349206337,0.2148997134670649,6.25,6.0,7.955179530880813
50,140.4,140.25,139.96666666666667,6.6,-151.61290322580646,-108.86699507389164,-72.0,4.9,-130.5084745762712,0.3573981415296634,6.25,5.9,7.989831599010147
51,141.2,140.33333333333334,140.5,6.5,-43.58974358974358,-33.33333333333333,285.7142857142858,5.0,-522.2222222222223,0.5698005698005604,6.0,5.8,7.972534979113795
52,142.0,140.53333333333333,141.20000000000002,6.4,-97.01492537313432,62.74509803921568,49.99999999999998,5.1,9.210526315789448,0.56657223796035,6.0,5.7,7.937588958921677
53,142.9,141.0,142.03333333333333,6.3,-175.0,-120.28985507246377,-8.64197530864197,5.2,-133.73493975903614,0.6338028169014187,5.75,5.6,7.965858024312037
54,144.2,141.76666666666668,143.03333333333333,6.2,-117.02127659574468,-68.55670103092784,14.864864864864868,5.3,-317.85714285714295,0.9097270818754222,5.75,5.5,7.979475872181931
55,145.0,142.61666666666667,144.03333333333333,6.1,-276.3636363636364,-154.99999999999997,-63.52941176470588,5.4,-208.1967213114754,0.554785020804438,5.4,5.4,7.999913451243781
56,145.8,143.51666666666665,145.0,6.0,-294.44444444444446,-198.3050847457627,-135.48387096774195,5.5,75.75757575757575,0.5517241379310533,5.4,5.3,8.022962441222083
57,147.2,144.51666666666668,146.0,5.9,-208.6206896551724,-185.3846153846154,200.0,5.6,91.3793103448276,0.9602194787379892,5.15,5.2,8.086564109644524
58,148.6,145.61666666666667,147.20000000000002,5.8,-53.33333333333334,-90.90909090909092,-133.33333333333334,5.7,-98.64864864864865,0.9510869565217516,5.15,5.1,8.13176597704458
59,150.4,146.86666666666667,148.73333333333332,5.7,-236.58536585365857,-183.0188679245284,-390.9090909090909,5.8,2455.33333333334,1.211305518169592,5.15,5.0,8.2025646349798
60,150.2,147.86666666666665,149.73333333333332,5.6,-248.0,-168.25396825396825,-81.25,5.9,-51.13636363636365,-0.1329787234042645,5.15,4.9,8.006534220429568
61,149.1,148.54999999999998,149.9,5.5,-788.8888888888889,-210.1694915254237,-50.0,6.0,51.16279069767442,-0.7323568575232975,5.15,4.8,7.9896621390785425
62,148.6,149.01666666666668,149.29999999999998,3.5,1035.6666666666663,1183.8750000000005,5987.000000000006,8.0,809.2307692307692,-0.3353454057679395,4.4,4.7,7.882616760214072
63,151.4,149.71666666666667,149.70000000000002,1.57,-3095.5,-1992.1052631578948,115.69506726457396,9.464999999999996,143.3164128595601,1.8842530282638048,4.4,4.5,7.696303544305335
64,150.9,150.1,150.29999999999998,1.57,-3095.5,-1063.8554216867471,-79.83367983367984,9.464999999999996,-44.36717663421419,-0.3302509907529671,4.0,4.4,7.740925237461909
65,151.8,150.33333333333334,151.36666666666667,2.5,241.17647058823528,896.4285714285717,-171.13402061855672,9.0,-65.125,0.5964214711729587,4.0,4.5,7.855893454295412
66,153.9,150.95000000000002,152.20000000000002,3.5,887.5,-459.0163934426229,-73.91304347826086,8.5,-21.505376344086024,1.383399209486158,4.0,4.6,7.908534207301484
67,154.7,151.88333333333333,153.46666666666667,4.5,5.154639175257736,100.0,-266.66666666666663,8.0,-39.72602739726028,0.5198180636777128,4.0,4.7,7.965788599152331
68,156.4,153.18333333333334,155.0,5.5,-150.47619047619048,-166.3793103448276,-179.99999999999997,7.5,-158.33333333333331,1.0989010989011172,4.0,4.9,8.022962441222083
69,158.4,154.35,156.5,6.5,-195.76719576719577,-214.41441441441444,204.16666666666663,7.0,229.87012987012992,1.278772378516635,4.0,5.1,8.05531644938211
70,158.9,155.68333333333334,157.9,7.5,128.5714285714286,1183.8750000000005,-109.5890410958904,6.5,-115.3543307086614,0.3156565656565746,4.0,5.3,8.101920142316988
71,157.3,156.6,158.20000000000002,8.5,-216.07142857142856,-195.45454545454547,-371.4285714285714,6.0,-315.38461538461536,-1.0069225928256764,4.0,5.5,8.174787385941196
72,156.3,157.0,157.50000000000003,9.5,-97.2972972972973,27.906976744186053,-384.2105263157896,5.8,-165.47619047619045,-0.6357279084551859,4.0,5.7,8.071062326582059
73,156.6,157.31666666666666,156.73333333333335,10.5,-206.4516129032258,-143.07692307692307,-29.62962962962964,5.6,-150.9090909090909,0.1919385796544936,4.0,5.9,8.055252965380058
74,156.8,157.38333333333333,156.5666666666667,11.429999999999993,-262.77173913043475,-250.76142131979697,-868.421052631579,5.4,2455.33333333334,0.1277139208173849,4.0,6.1,8.08665639887905
75,157.8,157.28333333333333,157.0666666666667,11.429999999999993,-162.5914315569488,-161.96105702364397,0.0,5.2,0.0,0.6377551020408267,4.0,6.3,8.070968586834773
76,160.4,157.53333333333333,158.33333333333334,10.0,-214.3669985775249,-200.75000000000003,-99.31506849315068,5.0,-9.539842873176196,1.6476552598225558,4.0,6.5,8.039350920132263
77,161.3,158.20000000000002,159.83333333333334,9.0,-180.45977011494253,-186.3799283154122,-2050.0,4.8,-70.09925558312655,0.5610972568578676,4.0,6.3,8.064919454599861
78,162.5,159.23333333333335,161.4,8.5,-181.85654008438817,-178.08219178082192,-41.02564102564102,4.6,-29.04564315352697,0.7439553626782391,4.0,6.1,8.077260854425825
79,162.9,160.28333333333333,162.23333333333335,8.0,-208.82352941176472,-228.7878787878788,-356.5217391304348,4.4,-0.5847953216374102,0.2461538461538515,4.0,5.9,8.095812093242673
80,163.2,161.35000000000002,162.86666666666667,7.5,-69.81132075471697,-80.51948051948052,-101.69491525423727,4.2,-91.17647058823528,0.1841620626150897,4.0,5.7,8.116775324529586
81,165.5,162.63333333333333,163.86666666666667,7.0,-117.67955801104972,-109.84251968503938,-799.9999999999999,4.0,-266.6666666666667,1.4093137254902022,4.0,5.5,8.174843717622148
82,166.7,163.68333333333334,165.13333333333333,6.5,78.125,66.66666666666666,-214.2857142857144,3.9,160.0,0.7250755287008914,4.0,5.3,8.216304291477174
83,166.2,164.5,166.13333333333333,6.3,-129.23076923076923,-119.04761904761904,-137.5,3.8,-75.38461538461539,-0.2999400119976014,4.0,5.2,8.28154680437825
84,165.7,165.03333333333333,166.19999999999996,6.1,1035.6666666666663,-76.36363636363636,933.3333333333334,3.7,-18.74999999999998,-0.300842358604092,4.0,5.1,8.131677758615693
85,166.1,165.56666666666666,166.0,5.9,-246.96969696969697,-689.2857142857143,-319.3548387096774,3.6,1169.230769230769,0.2414001207000637,4.0,5.3,8.116805173048355
86,167.7,166.31666666666666,166.49999999999997,5.7,-105.17529215358933,-108.41750841750842,-35.29411764705882,3.5,-54.54545454545454,0.9632751354605728,4.0,5.5,8.146361367202424
87,170.1,167.08333333333331,167.96666666666667,5.5,-87.97996661101837,-92.81705948372615,-81.81818181818181,3.4,-185.3333333333333,1.4311270125223707,4.4,5.7,8.131589532403629
88,171.7,167.91666666666666,169.83333333333334,5.3,-26.49253731343284,-24.937965260545912,-275.0,3.3,845.3125,0.9406231628453776,4.4,5.9,8.101859549109466
89,172.6,168.98333333333332,171.46666666666667,5.1,-9.999999999999998,16.597510373443967,107.14285714285715,3.3,-53.55371900826447,0.5241700640652436,4.9,6.1,8.125897225222266
90,173.4,170.26666666666665,172.56666666666663,4.9,-88.14432989690721,-103.50877192982458,-200.0,3.3,-102.13523131672598,0.4634994206257348,4.9,6.3,8.1375127822818
91,174.3,171.63333333333333,173.43333333333337,4.7,-139.63963963963965,-178.8235294117647,210.3448275862069,3.4,2133.333333333333,0.519031141868509,5.4,6.5,8.154988701965975
92,175.3,172.9,174.33333333333334,4.5,-443.75,-846.6666666666665,-36.66666666666667,3.5,-16.417910447761198,0.5737234652897216,5.4,6.7,8.174759218910703
93,176.7,174.0,175.43333333333337,4.3,465.625,1144.0000000000002,128.0701754385965,3.6,177.67857142857144,0.7986309184255358,5.9,6.9,8.229644443409692
94,176.5,174.79999999999998,176.16666666666666,4.1,-187.71929824561403,-330.7692307692308,-176.9230769230769,3.7,-148.2315112540193,-0.1131861912846532,5.9,7.0,8.268936939286952
95,175.7,175.3166666666667,176.29999999999998,4.0,489.4736842105263,106.24999999999996,-21.0,3.8,-122.0,-0.4532577903682777,6.25,6.8,8.330935899768635
96,176.5,175.83333333333334,176.23333333333332,4.2,86.36363636363633,30.76923076923068,-17.721518987341778,3.9,-48.48484848484848,0.4553215708594349,6.25,6.6,8.188828003688922
97,176.8,176.25,176.33333333333334,4.4,-57.73195876288659,-150.9090909090909,92.3076923076923,4.0,-594.1176470588238,0.1699716713881027,6.5,6.4,8.174787385941196
98,177.2,176.5666666666667,176.83333333333334,4.6,158.06451612903226,32.00000000000001,-115.2,4.1,-217.8571428571429,0.2262443438913797,6.5,6.2,8.202701600642722
99,178.1,176.79999999999998,177.36666666666667,4.8,-131.94444444444443,42.18750000000002,-700.0000000000001,4.2,-191.919191919192,0.5079006772009009,6.5,6.0,8.188744678456604
100,179.1,177.23333333333335,178.13333333333333,5.0,-97.46192893401016,-82.8099173553719,-21.92982456140351,4.3,14.28571428571428,0.5614823133071267,6.5,5.8,8.160689661356734
101,181.0,178.11666666666665,179.4,5.2,-126.98412698412696,-122.41992882562278,-94.3820224719101,4.4,-160.5769230769231,1.06085985482971,6.5,5.6,8.183369444447948
102,186.3,179.75,182.13333333333333,5.4,-256.52173913043475,-883.3333333333334,1560.0000000000002,4.5,-174.60317460317464,2.2008660361372043,6.5,5.4,8.194339795953015
103,186.2,181.3166666666667,184.5,5.6,-236.36363636363632,-218.6567164179104,19.27710843373493,4.6,238.29787234042547,-0.0536768652710795,6.5,5.2,8.210858230465247
104,184.1,182.46666666666667,185.5333333333333,5.8,-118.1818181818182,-133.03571428571428,-72.72727272727273,4.7,-76.72955974842768,-1.082979967831554,6.5,5.0,8.229564450875618
105,185.3,183.66666666666663,185.2,6.0,-187.8453038674033,-181.0289389067524,244.44444444444449,4.8,581.0810810810812,0.6518196632265161,6.5,4.8,8.281597432162789
106,186.3,184.86666666666667,185.2333333333333,6.2,-196.0,-154.66666666666666,-136.55913978494624,4.9,-132.53968253968253,0.5396654074473872,6.5,4.6,8.318937355609807
107,185.7,185.65,185.76666666666665,6.4,-146.42857142857144,-348.48484848484856,-188.23529411764704,5.0,-200.0,-0.3220611916264215,6.5,4.4,8.37800008722196
