date,cpi_index,inflation_mom,inflation_yoy,cpi_3m_avg,cpi_6m_avg
2013-01-01,104.6,,,,
2013-02-01,105.3,0.6692160611854625,,,
2013-03-01,105.5,0.18993352326686086,,105.13333333333333,
2013-04-01,106.1,0.5687203791469031,,105.63333333333333,
2013-05-01,106.9,0.7540056550424223,,106.16666666666667,
2013-06-01,109.3,2.2450888681010195,,107.43333333333332,106.28333333333335
2013-07-01,111.0,1.5553522415370669,,109.06666666666668,107.34999999999998
2013-08-01,112.4,1.2612612612612706,,110.89999999999999,108.53333333333335
2013-09-01,113.7,1.1565836298932375,,112.36666666666667,109.89999999999999
2013-10-01,114.8,0.9674582233949014,,113.63333333333333,111.35000000000001
2013-11-01,116.3,1.3066202090592283,,114.93333333333334,112.91666666666667
2013-12-01,114.5,-1.5477214101461745,,115.2,113.78333333333335
2014-01-01,113.6,-0.7860262008733687,8.604206500956014,114.8,114.21666666666668
2014-02-01,113.6,0.0,7.882241215574548,113.89999999999999,114.41666666666667
2014-03-01,114.2,0.528169014084523,8.24644549763034,113.8,114.5
2014-04-01,115.1,0.7880910683012221,8.482563619227147,114.3,114.55
2014-05-01,115.8,0.6081668114682914,8.325537885874645,115.03333333333332,114.46666666666665
2014-06-01,116.7,0.7772020725388629,6.770356816102474,115.86666666666667,114.83333333333333
2014-07-01,119.2,2.142245072836335,7.387387387387401,117.23333333333333,115.76666666666667
2014-08-01,120.3,0.9228187919463116,7.028469750889665,118.73333333333333,116.88333333333333
2014-09-01,120.1,-0.16625103906899863,5.628847845206675,119.86666666666667,117.86666666666667
2014-10-01,120.1,0.0,4.616724738675959,120.16666666666667,118.7
2014-11-01,120.1,0.0,3.267411865864145,120.1,119.41666666666667
2014-12-01,119.4,-0.5828476269775118,4.279475982532754,119.86666666666667,119.86666666666667
2015-01-01,119.5,0.08375209380233617,5.193661971830998,119.66666666666667,119.91666666666667
2015-02-01,119.7,0.16736401673640433,5.369718309859173,119.53333333333335,119.81666666666666
2015-03-01,120.2,0.41771094402673903,5.25394045534151,119.8,119.83333333333333
2015-04-01,120.7,0.4159733777038266,4.865334491746309,120.2,119.93333333333334
2015-05-01,121.6,0.7456503728251684,5.008635578583753,120.83333333333333,120.18333333333334
2015-06-01,123.0,1.1513157894736947,5.398457583547556,121.76666666666667,120.78333333333335
2015-07-01,123.6,0.4878048780487809,3.691275167785224,122.73333333333333,121.46666666666668
2015-08-01,124.8,0.9708737864077666,3.7406483790523692,123.8,122.31666666666666
2015-09-01,125.4,0.48076923076922906,4.412989175686932,124.59999999999998,123.18333333333332
2015-10-01,126.1,0.5582137161084466,4.995836802664444,125.43333333333334,124.08333333333333
2015-11-01,126.6,0.3965107057890549,5.412156536219825,126.03333333333335,124.91666666666667
2015-12-01,126.1,-0.3949447077409185,5.611390284757101,126.26666666666665,125.43333333333334
2016-01-01,126.3,0.15860428231562196,5.690376569037658,126.33333333333333,125.88333333333333
2016-02-01,126.0,-0.23752969121140222,5.263157894736836,126.13333333333333,126.08333333333333
2016-03-01,126.0,0.0,4.825291181364388,126.10000000000001,126.18333333333332
2016-04-01,127.3,1.031746031746028,5.468102734051361,126.43333333333332,126.38333333333333
2016-05-01,128.6,1.021209740769824,5.756578947368429,127.3,126.71666666666665
2016-06-01,130.1,1.1664074650077794,5.772357723577226,128.66666666666666,127.38333333333333
2016-07-01,131.1,0.768639508070712,6.067961165048552,129.93333333333334,128.18333333333334
2016-08-01,131.1,0.0,5.048076923076916,130.76666666666665,129.03333333333333
2016-09-01,130.9,-0.15255530129670847,4.385964912280693,131.03333333333333,129.85
2016-10-01,131.4,0.381970970206269,4.203013481364004,131.13333333333333,130.53333333333333
2016-11-01,131.2,-0.15220700152208666,3.633491311216419,131.16666666666666,130.96666666666667
2016-12-01,130.4,-0.609756097560965,3.4099920697858943,131.0,131.01666666666668
2017-01-01,130.3,-0.07668711656441118,3.1670625494853555,130.63333333333335,130.88333333333333
2017-02-01,130.6,0.2302379125095788,3.650793650793638,130.43333333333337,130.8
2017-03-01,130.9,0.22970903522205877,3.8888888888888973,130.6,130.79999999999998
2017-04-01,131.1,0.15278838808250317,2.9850746268656803,130.86666666666667,130.75
2017-05-01,131.4,0.22883295194509046,2.1772939346812015,131.13333333333333,130.78333333333333
2017-06-01,132.0,0.45662100456620447,1.460415065334364,131.5,131.04999999999998
2017-07-01,134.2,1.6666666666666607,2.3646071700991644,132.53333333333333,131.70000000000002
2017-08-01,135.4,0.8941877794336861,3.279938977879482,133.86666666666667,132.5
2017-09-01,135.2,-0.1477104874446189,3.2849503437738514,134.9333333333333,133.21666666666667
2017-10-01,136.1,0.6656804733727872,3.5768645357686424,135.56666666666666,134.04999999999998
2017-11-01,137.6,1.102130786186617,4.878048780487809,136.29999999999998,135.08333333333334
2017-12-01,137.2,-0.29069767441860517,5.21472392638036,136.96666666666667,135.95000000000002
2018-01-01,136.9,-0.21865889212826506,5.065234075211045,137.23333333333332,136.4
2018-02-01,136.4,-0.36523009495982306,4.441041347626351,136.83333333333334,136.56666666666666
2018-03-01,136.5,0.07331378299120228,4.278074866310155,136.6,136.78333333333333
2018-04-01,137.1,0.439560439560438,4.576659038901609,136.66666666666666,136.95000000000002
2018-05-01,137.8,0.510576221735981,4.87062404870624,137.13333333333335,136.98333333333332
2018-06-01,138.5,0.5079825834542806,4.924242424242431,137.79999999999998,137.20000000000002
2018-07-01,139.8,0.9386281588447787,4.172876304023854,138.70000000000002,137.68333333333334
2018-08-01,140.4,0.42918454935620964,3.692762186115206,139.5666666666667,138.35
2018-09-01,140.2,-0.14245014245015675,3.698224852071008,140.13333333333333,138.96666666666667
2018-10-01,140.7,0.3566333808844524,3.3798677443056535,140.4333333333333,139.56666666666666
2018-11-01,140.8,0.0710732054015839,2.3255813953488413,140.5666666666667,140.0666666666667
2018-12-01,140.1,-0.49715909090910504,2.1137026239067103,140.53333333333333,140.33333333333334
2019-01-01,139.6,-0.35688793718772205,1.9722425127830512,140.16666666666666,140.29999999999998
2019-02-01,139.9,0.21489971346706493,2.56598240469208,139.86666666666667,140.21666666666667
2019-03-01,140.4,0.3573981415296634,2.857142857142869,139.96666666666667,140.25
2019-04-01,141.2,0.5698005698005604,2.9905178701677526,140.5,140.33333333333334
2019-05-01,142.0,0.56657223796035,3.0478955007256836,141.20000000000002,140.53333333333333
2019-06-01,142.9,0.6338028169014187,3.1768953068592065,142.03333333333333,141.0
2019-07-01,144.2,0.9097270818754222,3.147353361945626,143.03333333333333,141.76666666666668
2019-08-01,145.0,0.554785020804438,3.276353276353272,144.03333333333333,142.61666666666667
2019-09-01,145.8,0.5517241379310533,3.9942938659058624,145.0,143.51666666666665
2019-10-01,147.2,0.9602194787379892,4.619758351101644,146.0,144.51666666666668
2019-11-01,148.6,0.9510869565217517,5.539772727272707,147.20000000000002,145.61666666666667
2019-12-01,150.4,1.211305518169592,7.351891506067099,148.73333333333332,146.86666666666667
2020-01-01,150.2,-0.13297872340426453,7.59312320916905,149.73333333333332,147.86666666666665
2020-02-01,149.1,-0.7323568575232975,6.576125804145816,149.9,148.54999999999998
2020-03-01,148.6,-0.3353454057679395,5.840455840455827,149.29999999999998,149.01666666666668
2020-04-01,151.4,1.8842530282638048,7.223796033994345,149.70000000000002,149.71666666666667
2020-05-01,150.9,-0.33025099075296716,6.26760563380282,150.29999999999998,150.1
2020-06-01,151.8,0.5964214711729587,6.2281315605318355,151.36666666666667,150.33333333333334
2020-07-01,153.9,1.383399209486158,6.726768377253833,152.20000000000002,150.95000000000002
2020-08-01,154.7,0.5198180636777128,6.689655172413778,153.46666666666667,151.88333333333333
2020-09-01,156.4,1.0989010989011172,7.270233196159115,155.0,153.18333333333334
2020-10-01,158.4,1.278772378516635,7.608695652173925,156.5,154.35
2020-11-01,158.9,0.31565656565657463,6.931359353970401,157.9,155.68333333333334
2020-12-01,157.3,-1.0069225928256764,4.58776595744681,158.20000000000002,156.6
2021-01-01,156.3,-0.6357279084551859,4.061251664447418,157.50000000000003,157.0
2021-02-01,156.6,0.19193857965449368,5.030181086519114,156.73333333333335,157.31666666666666
2021-03-01,156.8,0.12771392081738497,5.5181695827725585,156.5666666666667,157.38333333333333
2021-04-01,157.8,0.6377551020408267,4.2272126816380595,157.0666666666667,157.28333333333333
2021-05-01,160.4,1.6476552598225558,6.295559973492382,158.33333333333334,157.53333333333333
2021-06-01,161.3,0.5610972568578676,6.258234519104078,159.83333333333334,158.20000000000002
2021-07-01,162.5,0.7439553626782391,5.588044184535401,161.4,159.23333333333335
2021-08-01,162.9,0.2461538461538515,5.30058177117001,162.23333333333335,160.28333333333333
2021-09-01,163.2,0.18416206261508972,4.347826086956519,162.86666666666667,161.35000000000002
2021-10-01,165.5,1.4093137254902022,4.4823232323232265,163.86666666666667,162.63333333333333
2021-11-01,166.7,0.7250755287008914,4.908747640025157,165.13333333333333,163.68333333333334
2021-12-01,166.2,-0.29994001199760145,5.657978385251106,166.13333333333333,164.5
2022-01-01,165.7,-0.30084235860409203,6.01407549584132,166.19999999999996,165.03333333333333
2022-02-01,166.1,0.24140012070006378,6.066411238825031,166.0,165.56666666666666
2022-03-01,167.7,0.9632751354605729,6.951530612244894,166.49999999999997,166.31666666666666
2022-04-01,170.1,1.4311270125223707,7.794676806083634,167.96666666666667,167.08333333333331
2022-05-01,171.7,0.9406231628453776,7.044887780548614,169.83333333333334,167.91666666666666
2022-06-01,172.6,0.5241700640652436,7.005579665220085,171.46666666666667,168.98333333333332
2022-07-01,173.4,0.4634994206257348,6.707692307692303,172.56666666666663,170.26666666666665
2022-08-01,174.3,0.519031141868509,6.998158379373853,173.43333333333337,171.63333333333333
2022-09-01,175.3,0.5737234652897216,7.414215686274517,174.33333333333334,172.9
2022-10-01,176.7,0.7986309184255358,6.767371601208461,175.43333333333337,174.0
2022-11-01,176.5,-0.11318619128465324,5.87882423515298,176.16666666666666,174.79999999999998
2022-12-01,175.7,-0.45325779036827774,5.7160048134777375,176.29999999999998,175.3166666666667
2023-01-01,176.5,0.4553215708594349,6.517803258901633,176.23333333333332,175.83333333333334
2023-02-01,176.8,0.16997167138810276,6.441902468392535,176.33333333333334,176.25
2023-03-01,177.2,0.2262443438913797,5.66487775790101,176.83333333333334,176.5666666666667
2023-04-01,178.1,0.5079006772009009,4.7031158142269325,177.36666666666667,176.79999999999998
2023-05-01,179.1,0.5614823133071267,4.309842748980786,178.13333333333333,177.23333333333335
2023-06-01,181.0,1.06085985482971,4.866743916570115,179.4,178.11666666666665
2023-07-01,186.3,2.9281767955801064,7.439446366782021,182.13333333333333,179.75
2023-08-01,186.2,-0.05367686527107951,6.827309236947787,184.5,181.3166666666667
2023-09-01,184.1,-1.1278195488721776,5.019965772960622,185.5333333333333,182.46666666666667
2023-10-01,185.3,0.6518196632265161,4.867006225240544,185.20000000000002,183.66666666666666
2023-11-01,186.3,0.5396654074473872,5.552407932011327,185.23333333333335,184.86666666666667
2023-12-01,185.7,-0.32206119162642155,5.691519635742748,185.76666666666665,185.65
2024-01-01,185.5,-0.1077005923532548,5.099150141643061,185.83333333333334,185.51666666666668
2024-02-01,185.8,0.16172506738545422,5.090497737556565,185.66666666666666,185.45000000000002
2024-03-01,185.8,0.0,4.853273137697522,185.70000000000002,185.73333333333335
2024-04-01,186.7,0.4843918191603791,4.828747894441321,186.1,185.96666666666667
2024-05-01,187.7,0.5356186395286455,4.801786711334444,186.73333333333335,186.20000000000002
2024-06-01,190.2,1.331912626531695,5.082872928176796,188.19999999999996,186.95000000000002
2024-07-01,193.0,1.4721345951629994,3.596349973161561,190.29999999999998,188.20000000000002
2024-08-01,193.0,0.0,3.6519871106337254,192.0666666666667,189.39999999999998
2024-09-01,194.2,0.6217616580310725,5.4861488321564345,193.4,190.79999999999998
2024-10-01,196.8,1.338825952626177,6.206152185644909,194.66666666666666,192.48333333333332
2024-11-01,196.5,-0.1524390243902496,5.475040257648955,195.83333333333334,193.95000000000002
2024-12-01,195.4,-0.5597964376590325,5.223478729133024,196.23333333333335,194.8166666666667
2025-01-01,193.4,-1.0235414534288667,4.258760107816717,195.1,194.88333333333333
